Condition,Faster R-CNN,YOLOv8n,YOLOv8n_drop_%,Faster R-CNN_drop_%
original,0.917517674783975,0.9417721518987342,0.0,0.0
blur_gaussian,0.8031953522149601,0.910499139414802,3.32,12.46
blur_motion,0.8021722265321954,0.8508098891730606,9.66,12.57
noise_gaussian,0.0,0.24875621890547264,73.59,100.0
noise_salt_pepper,0.17518248175182483,0.31725265739983644,66.31,80.91
lighting_darker,0.8145344436033307,0.8962655601659751,4.83,11.22
lighting_brighter,0.8657616892911011,0.9245122985581001,1.83,5.64
jpeg_quality_20,0.8912,0.9131175468483815,3.04,2.87
jpeg_quality_50,0.9183673469387755,0.9335576114381835,0.87,-0.09
