epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1252.53,0.64004,0.48162,0.98851,0.95008,0.9316,0.97936,0.69117,1.05459,0.64452,1.20739,0.0005941,0.0005941,0.0005941
43,1430.34,0.62736,0.47501,0.99398,0.94994,0.95187,0.9781,0.70393,1.02501,0.6323,1.17235,0.0005842,0.0005842,0.0005842
44,1608.7,0.62262,0.47099,0.984,0.94748,0.96351,0.97789,0.72198,0.95938,0.61822,1.14062,0.0005743,0.0005743,0.0005743
45,1787.23,0.61656,0.46591,0.98183,0.93363,0.95267,0.97917,0.7238,0.95362,0.60999,1.1496,0.0005644,0.0005644,0.0005644
46,1966.12,0.61179,0.46146,0.9837,0.93547,0.94447,0.97843,0.73022,0.94554,0.61899,1.12424,0.0005545,0.0005545,0.0005545
47,2142.99,0.60831,0.4528,0.97444,0.93898,0.93681,0.97411,0.72639,0.95064,0.6209,1.14414,0.0005446,0.0005446,0.0005446
48,2319.54,0.60988,0.45857,0.97431,0.94797,0.93553,0.9752,0.72224,0.95927,0.60769,1.1524,0.0005347,0.0005347,0.0005347
49,2493.26,0.60547,0.44971,0.9754,0.95648,0.93072,0.97226,0.72603,0.93904,0.60522,1.12948,0.0005248,0.0005248,0.0005248
50,2668.45,0.60394,0.44651,0.97725,0.94356,0.94345,0.97582,0.72304,0.97557,0.60492,1.14483,0.0005149,0.0005149,0.0005149
51,2844.94,0.60098,0.44269,0.97524,0.95228,0.92781,0.97773,0.72802,0.94715,0.59363,1.13516,0.000505,0.000505,0.000505
52,3023.14,0.59386,0.44222,0.97239,0.95157,0.91858,0.97672,0.73127,0.91989,0.58861,1.12302,0.0004951,0.0004951,0.0004951
53,3200.33,0.59457,0.44028,0.97262,0.92732,0.94495,0.97342,0.71197,0.98134,0.61496,1.15957,0.0004852,0.0004852,0.0004852
