Model,Precision,Recall,F1-score,IoU,Dice,mAP@0.5,mAP@0.5:0.95,Parameters (M),GFLOPs,Model size (MB),Training time (hours),GPU Memory (MB),Inference time (ms/image),FPS
Faster R-CNN,0.886329,0.981293,0.931396,0.874674,0.931567,0.9527,0.6711,43.27,280.81,329.69,5.80,2841.41,126.07,7.93
YOLOv8n,0.949324,0.955782,0.952542,0.883696,0.936600,0.9790,0.7350,3.01,8.10,6.20,0.89,571.96,11.93,83.83
